"","GameID","date","home","away","homescore","awayscore"
"1","2012090500",2012-09-05,"NYG","DAL",17,24
"2","2012090900",2012-09-09,"CHI","IND",41,21
"3","2012090908",2012-09-09,"KC","ATL",24,40
"4","2012090907",2012-09-09,"CLE","PHI",16,17
"5","2012090906",2012-09-09,"NO","WAS",32,40
"6","2012090905",2012-09-09,"DET","STL",27,23
"7","2012090904",2012-09-09,"TEN","NE",13,34
"8","2012090901",2012-09-09,"MIN","JAC",26,23
"9","2012090902",2012-09-09,"NYJ","BUF",48,28
"10","2012090903",2012-09-09,"HOU","MIA",30,10
"11","2012090910",2012-09-09,"ARI","SEA",20,16
"12","2012090909",2012-09-09,"GB","SF",22,30
"13","2012090911",2012-09-09,"TB","CAR",16,10
"14","2012090912",2012-09-09,"DEN","PIT",31,19
"15","2012091000",2012-09-10,"BAL","CIN",44,13
"16","2012091001",2012-09-10,"OAK","SD",14,22
"17","2012091300",2012-09-13,"GB","CHI",23,10
"18","2012091600",2012-09-16,"NYG","TB",41,34
"19","2012091612",2012-09-16,"MIA","OAK",35,13
"20","2012091607",2012-09-16,"JAC","HOU",7,27
"21","2012091606",2012-09-16,"CIN","CLE",34,27
"22","2012091605",2012-09-16,"BUF","KC",35,17
"23","2012091604",2012-09-16,"PHI","BAL",24,23
"24","2012091601",2012-09-16,"CAR","NO",35,27
"25","2012091602",2012-09-16,"NE","ARI",18,20
"26","2012091603",2012-09-16,"IND","MIN",23,20
"27","2012091609",2012-09-16,"STL","WAS",31,28
"28","2012091608",2012-09-16,"SEA","DAL",27,7
"29","2012091610",2012-09-16,"PIT","NYJ",27,10
"30","2012091611",2012-09-16,"SD","TEN",38,10
"31","2012091613",2012-09-16,"SF","DET",27,19
"32","2012091700",2012-09-17,"ATL","DEN",27,21
"33","2012092000",2012-09-20,"CAR","NYG",7,36
"34","2012092300",2012-09-23,"DAL","TB",16,10
"35","2012092308",2012-09-23,"IND","JAC",17,22
"36","2012092307",2012-09-23,"CLE","BUF",14,24
"37","2012092306",2012-09-23,"MIA","NYJ",20,23
"38","2012092305",2012-09-23,"NO","KC",24,27
"39","2012092304",2012-09-23,"WAS","CIN",31,38
"40","2012092301",2012-09-23,"CHI","STL",23,6
"41","2012092302",2012-09-23,"MIN","SF",24,13
"42","2012092303",2012-09-23,"TEN","DET",44,41
"43","2012092310",2012-09-23,"SD","ATL",3,27
"44","2012092309",2012-09-23,"ARI","PHI",27,6
"45","2012092312",2012-09-23,"OAK","PIT",34,31
"46","2012092311",2012-09-23,"DEN","HOU",25,31
"47","2012092313",2012-09-23,"BAL","NE",31,30
"48","2012092400",2012-09-24,"SEA","GB",14,12
"49","2012092700",2012-09-27,"BAL","CLE",23,16
"50","2012093000",2012-09-30,"BUF","NE",28,52
"51","2012093006",2012-09-30,"NYJ","SF",0,34
"52","2012093005",2012-09-30,"STL","SEA",19,13
"53","2012093004",2012-09-30,"ATL","CAR",30,28
"54","2012093003",2012-09-30,"DET","MIN",13,20
"55","2012093002",2012-09-30,"KC","SD",20,37
"56","2012093001",2012-09-30,"HOU","TEN",38,14
"57","2012093009",2012-09-30,"JAC","CIN",10,27
"58","2012093008",2012-09-30,"DEN","OAK",37,6
"59","2012093007",2012-09-30,"ARI","MIA",24,21
"60","2012093011",2012-09-30,"TB","WAS",22,24
"61","2012093010",2012-09-30,"GB","NO",28,27
"62","2012093012",2012-09-30,"PHI","NYG",19,17
"63","2012100100",2012-10-01,"DAL","CHI",18,34
"64","2012100400",2012-10-04,"STL","ARI",17,3
"65","2012100701",2012-10-07,"PIT","PHI",16,14
"66","2012100702",2012-10-07,"IND","GB",30,27
"67","2012100703",2012-10-07,"NYG","CLE",41,27
"68","2012100700",2012-10-07,"WAS","ATL",17,24
"69","2012100705",2012-10-07,"CIN","MIA",13,17
"70","2012100706",2012-10-07,"KC","BAL",6,9
"71","2012100707",2012-10-07,"CAR","SEA",12,16
"72","2012100708",2012-10-07,"JAC","CHI",3,41
"73","2012100709",2012-10-07,"NE","DEN",31,21
"74","2012100710",2012-10-07,"SF","BUF",45,3
"75","2012100704",2012-10-07,"MIN","TEN",30,7
"76","2012100711",2012-10-07,"NO","SD",31,24
"77","2012100800",2012-10-08,"NYJ","HOU",17,23
"78","2012101100",2012-10-11,"TEN","PIT",26,23
"79","2012101401",2012-10-14,"TB","KC",38,10
"80","2012101402",2012-10-14,"NYJ","IND",35,9
"81","2012101403",2012-10-14,"CLE","CIN",34,24
"82","2012101404",2012-10-14,"PHI","DET",23,26
"83","2012101400",2012-10-14,"ATL","OAK",23,20
"84","2012101405",2012-10-14,"MIA","STL",17,14
"85","2012101406",2012-10-14,"BAL","DAL",31,29
"86","2012101407",2012-10-14,"ARI","BUF",16,19
"87","2012101408",2012-10-14,"SEA","NE",24,23
"88","2012101409",2012-10-14,"SF","NYG",3,26
"89","2012101410",2012-10-14,"WAS","MIN",38,26
"90","2012101411",2012-10-14,"HOU","GB",24,42
"91","2012101500",2012-10-15,"SD","DEN",24,35
"92","2012101800",2012-10-18,"SF","SEA",13,6
"93","2012102101",2012-10-21,"MIN","ARI",21,14
"94","2012102102",2012-10-21,"CAR","DAL",14,19
"95","2012102103",2012-10-21,"TB","NO",28,35
"96","2012102104",2012-10-21,"STL","GB",20,30
"97","2012102100",2012-10-21,"NYG","WAS",27,23
"98","2012102105",2012-10-21,"HOU","BAL",43,13
"99","2012102107",2012-10-21,"BUF","TEN",34,35
"100","2012102106",2012-10-21,"IND","CLE",17,13
"101","2012102108",2012-10-21,"NE","NYJ",29,26
"102","2012102109",2012-10-21,"OAK","JAC",26,23
"103","2012102110",2012-10-21,"CIN","PIT",17,24
"104","2012102200",2012-10-22,"CHI","DET",13,7
"105","2012102500",2012-10-25,"MIN","TB",17,36
"106","2012102801",2012-10-28,"NYJ","MIA",9,30
"107","2012102802",2012-10-28,"CLE","SD",7,6
"108","2012102803",2012-10-28,"TEN","IND",13,19
"109","2012102804",2012-10-28,"STL","NE",7,45
"110","2012102800",2012-10-28,"GB","JAC",24,15
"111","2012102805",2012-10-28,"PHI","ATL",17,30
"112","2012102808",2012-10-28,"PIT","WAS",27,12
"113","2012102807",2012-10-28,"DET","SEA",28,24
"114","2012102806",2012-10-28,"CHI","CAR",23,22
"115","2012102809",2012-10-28,"KC","OAK",16,26
"116","2012102810",2012-10-28,"DAL","NYG",24,29
"117","2012102811",2012-10-28,"DEN","NO",34,14
"118","2012102900",2012-10-29,"ARI","SF",3,24
"119","2012110100",2012-11-01,"SD","KC",31,13
"120","2012110401",2012-11-04,"GB","ARI",31,17
"121","2012110402",2012-11-04,"JAC","DET",14,31
"122","2012110403",2012-11-04,"TEN","CHI",20,51
"123","2012110404",2012-11-04,"CIN","DEN",23,31
"124","2012110400",2012-11-04,"WAS","CAR",13,21
"125","2012110405",2012-11-04,"CLE","BAL",15,25
"126","2012110407",2012-11-04,"IND","MIA",23,20
"127","2012110406",2012-11-04,"HOU","BUF",21,9
"128","2012110408",2012-11-04,"SEA","MIN",30,20
"129","2012110409",2012-11-04,"OAK","TB",32,42
"130","2012110410",2012-11-04,"NYG","PIT",20,24
"131","2012110411",2012-11-04,"ATL","DAL",19,13
"132","2012110500",2012-11-05,"NO","PHI",28,13
"133","2012110800",2012-11-08,"JAC","IND",10,27
"134","2012111101",2012-11-11,"TB","SD",34,24
"135","2012111102",2012-11-11,"MIA","TEN",3,37
"136","2012111103",2012-11-11,"NE","BUF",37,31
"137","2012111104",2012-11-11,"BAL","OAK",55,20
"138","2012111100",2012-11-11,"CAR","DEN",14,36
"139","2012111105",2012-11-11,"CIN","NYG",31,13
"140","2012111107",2012-11-11,"MIN","DET",34,24
"141","2012111106",2012-11-11,"NO","ATL",31,27
"142","2012111108",2012-11-11,"SEA","NYJ",28,7
